,k5,k12,Interlimb,BodyWidth,PelvicWidth,PelvicHeight,HeadWidth,SnoutEye,EyeDiameter,HeadDepth,TailWidth,TailLength,UpperArm,LowerArm,Hand,UpperLeg,LowerLeg,Foot,Neck,PosSkull,Size,Genus,Genus_species
Tympanocryptis_intima,4,5,1.00789171,0.456081743,-0.491481666,-0.334869499,0.282760155,-1.495920108,-1.089192488,-0.0964482,-0.715468325,2.019263179,-0.035807863,-0.121745457,0.007495336,0.221300938,0.232899753,0.430306518,-0.051009574,-0.226056152,2.332626361,Tympanocryptis_intima,Tympanocryptis_intima
Tympanocryptis_pinguicolla,4,5,1.176910815,0.398245685,-0.384610283,-0.194241523,0.271500944,-1.333268154,-1.028269631,-0.013163361,-0.939025413,1.910051735,-0.185888806,-0.229332843,-0.03398517,0.097509613,0.113393925,0.36869719,0.226636961,-0.221161684,2.161819971,Tympanocryptis_pinguicolla,Tympanocryptis_pinguicolla
Tympanocryptis_pseudopsephos,4,5,1.082100945,0.735648409,-0.364377425,-0.45007346,0.374869858,-1.502969577,-1.077187453,-0.076757761,-1.106639336,1.908823588,0.033235333,-0.059495152,-0.051613157,0.202840801,0.185131112,0.385067978,0.098957739,-0.317562441,2.262996286,Tympanocryptis_pseudopsephos,Tympanocryptis_pseudopsephos
Tympanocryptis_tolleyi,4,5,1.14170333,0.519333252,-0.427540903,-0.389242053,0.295974532,-1.510744566,-1.060428892,-0.111429188,-0.840800283,2.130490856,-0.108845207,-0.188377292,-0.023259577,0.176818701,0.17754571,0.408411307,0.023879409,-0.213489134,2.15653805,Tympanocryptis_tolleyi,Tympanocryptis_tolleyi
Tympanocryptis_wilsoni,4,5,1.041109369,0.598501958,-0.379244814,-0.303404762,0.239442591,-1.516219936,-1.049786268,-0.135698787,-0.922117972,2.08145275,-0.094116122,-0.135698787,-0.031579736,0.147631398,0.25429947,0.443535032,0.017860911,-0.255966296,2.340395379,Tympanocryptis_wilsoni,Tympanocryptis_wilsoni
Ctenophorus_adelaidensis,4,6,1.070269239,0.48284951,-0.418618411,-0.326168982,0.239925844,-1.353566401,-1.222273859,-0.099996655,-0.432766078,2.150162641,-0.117897865,-0.176506185,-0.173319162,0.053923583,0.21865256,0.509798135,-0.20625363,-0.198214283,2.106867504,Ctenophorus_adelaidensis,Ctenophorus_adelaidensis
Ctenophorus_butlerorum,4,6,1.076431162,0.35224034,-0.394849394,-0.429551671,0.200331311,-1.538021112,-1.176602608,-0.210634793,-0.291005898,2.06073528,-0.04874648,-0.220533904,-0.191898882,0.161173292,0.264085826,0.589821358,-0.014163749,-0.188810077,2.058301895,Ctenophorus_butlerorum,Ctenophorus_butlerorum
Ctenophorus_chapmani,4,6,0.939600378,0.383544859,-0.451423189,-0.36539047,0.267132089,-1.230802244,-1.082008971,-0.167246123,-0.288859114,2.003698899,-0.081651539,-0.177835462,-0.178522512,0.123743419,0.18387486,0.390960974,0.05678049,-0.325596344,2.162966325,Ctenophorus_chapmani,Ctenophorus_chapmani
Ctenophorus_clayi,4,6,1.013525599,0.458990262,-0.506935585,-0.300799754,0.224841841,-1.366263106,-1.117085846,0.062144991,-0.551942235,2.036388821,-0.170357691,-0.201203639,-0.18525951,0.101953284,0.240726396,0.413783198,0.09468493,-0.247191957,2.194814924,Ctenophorus_clayi,Ctenophorus_clayi
Ctenophorus_maculosus,4,6,0.982173755,0.330207905,-0.516096906,-0.334602822,0.288249789,-1.556393469,-1.077824103,-0.05075674,-0.4410677,2.02587625,-0.07696187,-0.132879099,-0.03744591,0.190605627,0.258275714,0.425576148,-0.04454361,-0.232392959,2.420688906,Ctenophorus_maculosus,Ctenophorus_maculosus
