"Genus_species","Snout_Vent","Interlimb","Snout_Axilla","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Head_Length","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Tympanocryptis_darlingensis",61.122,33.468,25.264,20.482,7.328,8.462,13.76,2.618,3.57,8.958,14.132,5.192,92.4,9.476,9.354,9.804,12.574,13.396,16.534,11.132,7.944
"Tympanocryptis_diabolicus",55.8475,29.2475,24.68,17.5025,7.05,7.2675,14.415,2.1475,3.35,9.8925,13.2975,4.6875,76.75,10.865,9.645,8.15,13.0925,13.25,15.5225,11.3825,7.8
"Tympanocryptis_einasleighensis",53.4625,28.775,21.8975,16.78,5.7075,7.555,12.625,2.3875,3.2475,9.0175,14.2575,3.815,64,8.2975,8.2975,7.895,10.1675,10.5425,12.335,7.64,8.6225
"Tympanocryptis_fictilis",58.5,31.8733333333333,24.7433333333333,16.2033333333333,7.23666666666667,7.71666666666667,13.7466666666667,2.52333333333333,3.33,9.89333333333333,14.85,4.68333333333333,76.4633333333333,10.31,9.61333333333333,9.77,13.09,13.43,15.7833333333333,9.89333333333333,8.99666666666667
"Tympanocryptis_fortescuensis",56.7771428571429,29.3814285714286,24.53,18.1371428571429,7.01571428571429,7.01142857142857,13.9042857142857,2.25285714285714,3.62,9.41,13.8814285714286,4.47142857142857,84.8571428571429,10.8557142857143,10.5828571428571,9.66,13.7757142857143,14.2242857142857,17.1014285714286,10.6485714285714,8.00857142857143
"Tympanocryptis_gigas",56.13,29.98,25.01,17.72,6.565,7.2925,14.5025,2.1725,3.9275,9.57,14.275,4.29,78.25,10.585,9.1975,9.74,12.7375,12.2725,14.5675,10.735,8.175
"Tympanocryptis_hobsoni",54.856,28.352,24.176,17.686,7.302,8.42,12.77,2.28,3.492,8.888,14.122,5.396,74.6,9.778,9.102,9.978,13.034,14.036,17.662,10.054,8.35
"Tympanocryptis_houstoni",56.0385714285714,29.9,22.8885714285714,16.6471428571429,6.35,7.34285714285714,12.6428571428571,2.41,3.52571428571429,8.61571428571429,13.4385714285714,5.61,85.8571428571429,8.87428571428571,8.03857142857143,8.57285714285714,11.1328571428571,12.2742857142857,15.2514285714286,9.45,7.50285714285714
"Tympanocryptis_intima",54.01,28.23375,23.78875,16.26,6.30375,7.3725,13.6725,2.30875,3.4675,9.3575,13.99625,5.03875,77.625,9.9425,9.12375,10.3825,12.8575,13.0075,15.84625,9.7925,8.22
"Tympanocryptis_lineata",45.945,24.8975,19.16,13.97,5.3475,6.47,11.39,2.0325,2.9425,8.1325,11.495,4.2575,80.25,8.14,7.185,7.89,10.2125,10.52,14.2,7.665,6.52
"Tympanocryptis_macra",63.6416666666667,32.6066666666667,27.1733333333333,17.215,6.915,8.69833333333333,13.4833333333333,2.80333333333333,3.92,9.76666666666667,15.04,5.46333333333333,99.5,11.085,10.2416666666667,10.1666666666667,13.715,14.6483333333333,17.44,12.1333333333333,8.31666666666667
