"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus maculosus",34.52,17.4,7.13,8.01,15.79,2.29,4.43,11.36,8.18,90,10.98,10.1,11.38,14.58,15.55,17.42,11.76,9.42
"Ctenophorus maculosus",24.96,15.6,6.03,8.25,15.05,2.4,3.67,10.62,7.25,86,10.11,9.69,10.77,13.35,14.89,17.4,10.35,9.52
"Ctenophorus maculosus",30.67,13.97,6.99,7.9,14.2,2.43,3.39,10.11,6.29,80,10.17,9.77,10.37,12.92,13.27,16.85,10.18,7.82
"Ctenophorus mckenziei",37.11,17.41,8.26,9.32,14.15,3.52,4.07,9.57,8.99,134,9.82,10.58,11.06,18.34,20.21,25.39,16.08,8.17
"Ctenophorus mckenziei",34.13,16.38,7.01,10,12.99,4.97,4.25,10.75,9.95,158,9.17,9.17,9.3,17.81,19.53,26.08,13.18,6.37
"Ctenophorus mckenziei",35.5,13.76,6.76,9.2,14.16,3.6,3.27,10.85,9.28,164,9.88,10.05,10.45,17.07,19.74,23.93,15.94,9.07
"Ctenophorus mirrityana",39.19,25.73,10.24,12.38,22.33,4.11,5.24,13.88,10.12,156,13.15,12.39,14.56,22.08,21.71,28.35,20.2,12.3
"Ctenophorus mirrityana",44.13,22.44,10.2,9.01,20.23,5.06,4.99,10.98,8.83,162,12.37,12.67,12.43,21.58,22.62,28.41,15.68,10.83
"Ctenophorus mirrityana",42.91,24.72,8.24,10.82,22.55,4.23,5.68,13.29,11.03,180,14.44,12.06,15.51,21.91,24.49,30.7,20.85,12.42
"Ctenophorus mirrityana",33.48,22.34,8.36,10.07,18.77,3.98,5.07,11.76,8.42,167,12.45,11.62,14.63,20.55,22.78,29.24,15.22,10.97
"Ctenophorus nguyarna",32.73,20.65,7.47,6.05,13.1,2.45,3.27,7.91,7.45,94,9.57,8.74,8.64,13.03,14.38,17.55,11.34,7.51
"Ctenophorus nguyarna",41.47,21.49,9.76,9.07,16.01,2.59,4.51,11.83,8.66,132,11.31,12.38,13.52,16.59,15.89,22.32,12.93,9.78
"Ctenophorus nguyarna",34.47,20.33,8.53,9.08,15.83,2.83,4.15,11.3,9.05,120,11.25,11.27,11.67,15.11,18.1,23.65,12.66,9.3
"Ctenophorus nguyarna",37.68,20.61,8.69,9.33,16.13,3.1,4.57,11.31,8.9,125,9.98,11.21,11.43,15.77,17.55,22.33,12.62,8.95
"Ctenophorus nuchalis",63.72,30.47,11.95,14.2,24.92,4.83,5.7,16.12,14.15,154,14.31,16.08,15.08,21.45,22.83,22.68,21.28,10.55
"Ctenophorus nuchalis",64.84,30.91,11.25,14.11,26.81,3.91,5.38,16.93,13.87,152,14,15.73,17.16,20.35,23.36,25.93,17.68,12.77
"Ctenophorus nuchalis",61.12,29.73,9.38,13.69,23.39,4.53,4.92,15.79,14.24,141,13.32,14.68,15.66,19.69,21.77,24.38,18.75,11.95
"Ctenophorus ornatus",42.59,22.83,8.38,8.15,18.6,3.47,4.32,9.8,10.63,168,14.13,11.75,14.58,21.3,25.14,30.92,19.95,10.88
